N1,T1,N2,T2,N3,T3,N4
5,247,1,264,6,288,4
8,344,3,256,4,200,2
8,184,3,256,4,120,2
8,368,3,456,4,160,2
5,208,7,336,6,280,1
5,208,7,288,6,296,1
5,240,7,360,6,336,1
4,112,6,352,1,240,4
4,240,6,336,1,168,4
4,256,6,320,1,208,4
2,296,8,384,7,216,5
2,327,8,392,7,280,5
2,208,8,224,7,184,5
2,328,6,128,6,232,7
2,472,6,127,6,321,7
2,424,6,1800,6,432,7
3,352,8,152,8,184,6
3,384,8,152,8,272,6
3,368,8,136,8,256,6
4,632,0,192,0,256,0
4,504,0,176,0,216,0
4,544,0,168,0,192,0
4,238,5,240,7,272,9
4,225,5,255,7,264,9
4,216,5,288,7,280,9
2,296,7,216,8,248,1
2,320,7,224,8,272,1
2,279,7,208,8,240,1
5,408,1,328,6,312,4
5,272,1,279,6,273,4
5,288,1,377,6,303,4
8,160,3,240,4,192,2
8,176,3,239,4,185,2
8,136,3,472,4,208,2
5,392,7,272,6,312,1
5,312,7,303,6,321,1
5,272,7,408,6,320,1
4,280,6,384,1,208,4
4,272,6,279,1,184,4
4,272,6,280,1,208,4
2,416,8,264,7,256,5
2,352,8,288,7,327,5
2,336,8,264,7,248,5
2,432,6,256,6,296,7
2,407,6,257,6,320,7
2,344,6,240,6,352,7
3,392,8,168,8,296,6
3,376,8,151,8,224,6
3,328,8,224,8,280,6
4,544,0,176,0,192,0
4,392,0,248,0,208,0
4,392,0,232,0,160,0
2,189,4,153,1,111,1
2,176,4,144,1,120,1
2,304,4,168,1,120,1
9,311,4,120,4,153,7
9,352,4,96,4,1040,7
9,376,4,160,4,200,7
9,312,2,257,6,263,0
9,280,2,224,6,224,0
9,304,2,224,6,248,0
0,199,7,289,2,168,3
0,240,7,264,2,224,3
0,216,7,216,2,176,3
2,192,5,199,8,168,2
2,192,5,192,8,192,2
2,200,5,224,8,208,2
0,264,4,184,7,352,3
0,384,4,192,7,264,3
0,208,4,176,7,224,3
4,152,1,280,3,136,3
4,151,1,217,3,135,3
4,304,1,248,3,136,3
0,232,6,216,5,176,4
0,248,6,344,5,208,4
0,264,6,216,5,176,4
7,216,8,208,4,248,9
7,176,8,240,4,216,9
7,264,8,240,4,224,9
5,200,5,184,5,184,8
5,152,5,144,5,176,8
5,152,5,144,5,184,8
9,174,5,152,7,152,7
9,200,5,207,7,137,7
9,225,5,176,7,159,7
1,200,6,152,9,208,6
1,200,6,160,9,208,6
1,199,6,176,9,224,6
4,168,8,208,3,168,2
4,160,8,240,3,152,2
4,160,8,207,3,152,2
1,176,5,184,0,184,9
1,176,5,160,0,200,9
1,192,5,184,0,231,9
8,184,4,176,2,160,1
8,184,4,168,2,160,1
8,176,4,183,2,152,1
8,176,5,168,2,176,9
8,160,5,168,2,192,9
8,168,5,168,2,184,9
9,184,3,160,6,160,9
9,184,3,152,6,184,9
9,200,3,152,6,184,9
5,176,6,215,7,224,2
5,160,6,152,7,208,2
5,168,6,192,7,192,2
8,168,0,224,3,200,7
8,168,0,200,3,208,7
8,175,0,225,3,215,7
3,192,1,152,1,176,2
3,216,1,167,1,169,2
3,200,1,184,1,192,2
9,236,5,312,7,168,7
9,232,5,264,7,144,7
9,272,5,248,7,168,7
1,424,6,496,9,472,6
1,801,6,303,9,320,6
1,464,6,256,9,264,6
4,408,8,440,3,272,2
4,784,8,480,3,400,2
4,256,8,312,3,208,2
1,384,5,376,0,320,9
1,256,5,312,0,296,9
1,384,5,296,0,304,9
8,280,4,280,2,248,1
8,280,4,216,2,248,1
8,343,4,272,2,224,1
8,208,5,215,2,385,9
8,224,5,232,2,400,9
8,248,5,207,2,321,9
9,360,3,304,6,328,9
9,328,3,296,6,248,9
9,247,3,232,6,248,9
5,240,6,288,7,304,2
5,255,6,288,7,352,2
5,240,6,336,7,288,2
8,264,0,552,3,312,7
8,240,0,328,3,296,7
8,272,0,320,3,296,7
3,352,1,160,1,248,2
3,328,1,160,1,240,2
3,368,1,184,1,256,2
5,173,0,201,9,239,1
5,176,0,192,9,200,1
5,192,0,168,9,192,1
0,176,8,184,5,160,9
0,200,8,200,5,176,9
0,208,8,199,5,176,9
8,167,7,200,3,176,5
8,184,7,208,3,168,5
8,160,7,224,3,176,5
9,160,0,192,9,152,9
9,159,0,169,9,143,9
9,176,0,184,9,136,9
5,168,3,224,0,232,1
5,160,3,208,0,256,1
5,168,3,216,0,288,1
6,151,6,248,1,176,7
6,120,6,280,1,184,7
6,136,6,264,1,200,7
0,208,5,184,0,240,3
0,208,5,192,0,256,3
0,201,5,200,0,215,3
8,128,8,208,3,216,4
8,136,8,232,3,216,4
8,128,8,264,3,216,4
5,280,2,136,2,160,2
5,288,2,159,2,168,2
5,272,2,144,2,168,2
3,192,9,224,7,224,1
3,192,9,200,7,224,1
3,192,9,192,7,192,1
5,283,0,496,9,320,1
5,352,0,304,9,312,1
5,343,0,249,9,312,1
0,232,8,328,5,272,9
0,216,8,208,5,264,9
0,248,8,352,5,280,9
8,247,7,401,3,231,5
8,232,7,328,3,224,5
8,224,7,280,3,240,5
9,256,0,296,9,168,9
9,248,0,272,9,120,9
9,247,0,248,9,152,9
5,248,3,440,0,392,1
5,224,3,360,0,368,1
5,248,3,376,0,432,1
6,191,6,377,1,360,7
6,240,6,336,1,344,7
6,200,6,352,1,345,7
0,336,5,359,0,360,3
0,336,5,344,0,344,3
0,328,5,304,0,352,3
8,256,8,320,3,336,4
8,232,8,304,3,304,4
8,192,8,345,3,272,4
5,520,2,304,2,400,2
5,296,2,232,2,168,2
5,488,2,312,2,384,2
3,552,9,551,7,337,1
3,352,9,368,7,248,1
3,353,9,335,7,281,1
4,222,5,240,7,384,9
4,224,5,272,7,256,9
4,200,5,224,7,264,9
2,288,7,240,8,296,1
2,288,7,240,8,295,1
2,288,7,215,8,265,1
5,216,1,232,6,232,4
5,248,1,240,6,208,4
5,224,1,232,6,184,4
8,304,3,272,4,223,2
8,295,3,256,4,208,2
8,272,3,272,4,200,2
5,224,7,296,6,288,1
5,208,7,256,6,272,1
5,239,7,273,6,264,1
4,288,6,328,1,336,4
4,344,6,336,1,328,4
